Name,Titel,Position,Organisation,Fachgebiet,Expertise,Email,LinkedIn,Twitter,Website,Standort,Tags,Letzte Aktualisierung
PD Dr. Maria Schmidt,Senior AI Researcher,,,,AI Ethics; Robotics; Reinforcement Learning,,,,,,,
Prof. Michael Koch,Professor für KI und ML,,,,Robotics; AI Ethics; Reinforcement Learning,,,,,,,
Prof. Dr. Christian Müller,Professor für KI und ML,,,,Machine Learning; Deep Learning; Neural Networks,,,,,,,
Prof. Anna Meyer,Professor für KI und ML,,,,Neural Networks; Reinforcement Learning; Robotics,,,,,,,
Prof. Julia Weber,Professor für KI und ML,,,,Neural Networks; Computer Vision; Deep Learning,,,,,,,
Prof. Christian Becker,Professor für KI und ML,,,,Natural Language Processing; Explainable AI; Quantum AI,,,,,,,
Prof. Dr. Julia Koch,Professor für KI und ML,,,,Neural Networks; Computer Vision; Robotics,,,,,,,
Dr. Martin Hoffmann,Senior AI Researcher,,,,Machine Learning; Deep Learning; Neural Networks,,,,,,,
PD Dr. Christian Müller,Senior AI Researcher,,,,Machine Learning; Neural Networks; Deep Learning,,,,,,,
Dr. Sophie Meyer,Senior AI Researcher,,,,Machine Learning; Neural Networks; AI Ethics,,,,,,,
Prof. Dr. Anna Wagner,Professor für KI und ML,,,,Robotics; Neural Networks; Machine Learning,,,,,,,
PD Dr. Alexander Koch,Senior AI Researcher,,,,AI Ethics; Machine Learning; Deep Learning,,,,,,,
Dr. Julia Müller,Senior AI Researcher,,,,Explainable AI; Machine Learning; Deep Learning,,,,,,,
PD Dr. Christian Müller,Senior AI Researcher,,,,Natural Language Processing; Computer Vision; Deep Learning,,,,,,,
PD Dr. Michael Becker,Senior AI Researcher,,,,Robotics; Computer Vision; Explainable AI,,,,,,,
Prof. Julia Müller,Professor für KI und ML,,,,Machine Learning; Deep Learning; Natural Language Processing,,,,,,,
Dr. Thomas Becker,Senior AI Researcher,,,,Quantum AI; Computer Vision; Machine Learning,,,,,,,
PD Dr. Michael Koch,Senior AI Researcher,,,,Reinforcement Learning; Deep Learning; Quantum AI,,,,,,,
Prof. Maria Meyer,Professor für KI und ML,,,,Machine Learning; Robotics; Deep Learning,,,,,,,
Dr. Michael Hoffmann,Senior AI Researcher,,,,Natural Language Processing; Computer Vision; Explainable AI,,,,,,,
Prof. Dr. Michael Schmidt,Professor für KI und ML,,,,Natural Language Processing; Reinforcement Learning; Robotics,,,,,,,
PD Dr. Michael Becker,Senior AI Researcher,,,,Quantum AI; Deep Learning; Natural Language Processing,,,,,,,
Dr. Michael Becker,Senior AI Researcher,,,,Quantum AI; Neural Networks; Natural Language Processing,,,,,,,
PD Dr. Alexander Schmidt,Senior AI Researcher,,,,Deep Learning; Computer Vision; Reinforcement Learning,,,,,,,
Dr. Julia Schulz,Senior AI Researcher,,,,Robotics; Neural Networks; Computer Vision,,,,,,,
PD Dr. Laura Weber,Senior AI Researcher,,,,Machine Learning; Reinforcement Learning; Quantum AI,,,,,,,
Prof. Dr. Christian Hoffmann,Professor für KI und ML,,,,Deep Learning; Robotics; Explainable AI,,,,,,,
Prof. Julia Meyer,Professor für KI und ML,,,,Computer Vision; Neural Networks; Natural Language Processing,,,,,,,
Prof. Christian Wagner,Professor für KI und ML,,,,Natural Language Processing; Deep Learning; Machine Learning,,,,,,,
Dr. Maria Wagner,Senior AI Researcher,,,,Neural Networks; Robotics; Explainable AI,,,,,,,
Prof. Anna Becker,Professor für KI und ML,,,,Computer Vision; Machine Learning; Deep Learning,,,,,,,
PD Dr. Maria Wagner,Senior AI Researcher,,,,Computer Vision; AI Ethics; Explainable AI,,,,,,,
Dr. Sophie Müller,Senior AI Researcher,,,,Natural Language Processing; Deep Learning; Explainable AI,,,,,,,
Prof. Christian Müller,Professor für KI und ML,,,,Computer Vision; AI Ethics; Neural Networks,,,,,,,
PD Dr. Christian Schmidt,Senior AI Researcher,,,,Reinforcement Learning; AI Ethics; Explainable AI,,,,,,,
Prof. Dr. Laura Fischer,Professor für KI und ML,,,,Machine Learning; Deep Learning; Neural Networks,,,,,,,
PD Dr. Sophie Weber,Senior AI Researcher,,,,Computer Vision; Explainable AI; Natural Language Processing,,,,,,,
Dr. Sophie Hoffmann,Senior AI Researcher,,,,Deep Learning; Explainable AI; AI Ethics,,,,,,,
Prof. Maria Schulz,Professor für KI und ML,,,,Deep Learning; Robotics; Natural Language Processing,,,,,,,
Prof. Dr. Thomas Müller,Professor für KI und ML,,,,Reinforcement Learning; Computer Vision; Explainable AI,,,,,,,
PD Dr. Alexander Hoffmann,Senior AI Researcher,,,,Deep Learning; Natural Language Processing; Quantum AI,,,,,,,
Prof. Alexander Koch,Professor für KI und ML,,,,Machine Learning; Deep Learning; Reinforcement Learning,,,,,,,
PD Dr. Michael Weber,Senior AI Researcher,,,,AI Ethics; Quantum AI; Neural Networks,,,,,,,
Prof. Sophie Schulz,Professor für KI und ML,,,,Computer Vision; Reinforcement Learning; Explainable AI,,,,,,,
Prof. Dr. Christian Meyer,Professor für KI und ML,,,,Machine Learning; Deep Learning; AI Ethics,,,,,,,
Prof. Maria Fischer,Professor für KI und ML,,,,Robotics; Computer Vision; Quantum AI,,,,,,,
PD Dr. Laura Koch,Senior AI Researcher,,,,Machine Learning; AI Ethics; Deep Learning,,,,,,,
Prof. Alexander Weber,Professor für KI und ML,,,,Robotics; Quantum AI; Neural Networks,,,,,,,
PD Dr. Martin Fischer,Senior AI Researcher,,,,Natural Language Processing; Deep Learning; Robotics,,,,,,,
Dr. Thomas Fischer,Senior AI Researcher,,,,AI Ethics; Machine Learning; Natural Language Processing,,,,,,,
PD Dr. Michael Wagner,Senior AI Researcher,,,,Neural Networks; Natural Language Processing; Quantum AI,,,,,,,
Prof. Dr. Laura Müller,Professor für KI und ML,,,,Machine Learning; Explainable AI; AI Ethics,,,,,,,
PD Dr. Maria Meyer,Senior AI Researcher,,,,Neural Networks; Computer Vision; Machine Learning,,,,,,,
PD Dr. Michael Becker,Senior AI Researcher,,,,Machine Learning; Explainable AI; Reinforcement Learning,,,,,,,
Prof. Sophie Wagner,Professor für KI und ML,,,,Computer Vision; Quantum AI; Machine Learning,,,,,,,
Prof. Alexander Becker,Professor für KI und ML,,,,Robotics; Natural Language Processing; Neural Networks,,,,,,,
PD Dr. Martin Hoffmann,Senior AI Researcher,,,,Deep Learning; Natural Language Processing; Computer Vision,,,,,,,
Dr. Christian Koch,Senior AI Researcher,,,,Machine Learning; Quantum AI; Deep Learning,,,,,,,
Dr. Sophie Hoffmann,Senior AI Researcher,,,,Natural Language Processing; Robotics; Explainable AI,,,,,,,
PD Dr. Christian Fischer,Senior AI Researcher,,,,Neural Networks; Machine Learning; Computer Vision,,,,,,,
Dr. Alexander Koch,Senior AI Researcher,,,,Robotics; Neural Networks; Quantum AI,,,,,,,
Prof. Maria Fischer,Professor für KI und ML,,,,Natural Language Processing; Computer Vision; Explainable AI,,,,,,,
Dr. Christian Müller,Senior AI Researcher,,,,Neural Networks; AI Ethics; Machine Learning,,,,,,,
PD Dr. Michael Schmidt,Senior AI Researcher,,,,Quantum AI; Reinforcement Learning; Natural Language Processing,,,,,,,
Prof. Laura Meyer,Professor für KI und ML,,,,Machine Learning; Deep Learning; Quantum AI,,,,,,,
Prof. Thomas Hoffmann,Professor für KI und ML,,,,Robotics; AI Ethics; Explainable AI,,,,,,,
Dr. Maria Meyer,Senior AI Researcher,,,,Machine Learning; Robotics; Explainable AI,,,,,,,
Prof. Dr. Anna Fischer,Professor für KI und ML,,,,Explainable AI; Machine Learning; Deep Learning,,,,,,,
Prof. Dr. Laura Schulz,Professor für KI und ML,,,,Computer Vision; Natural Language Processing; AI Ethics,,,,,,,
PD Dr. Laura Wagner,Senior AI Researcher,,,,Natural Language Processing; Machine Learning; Explainable AI,,,,,,,
Dr. Alexander Koch,Senior AI Researcher,,,,Neural Networks; Robotics; Explainable AI,,,,,,,
Prof. Thomas Müller,Professor für KI und ML,,,,Neural Networks; Deep Learning; Computer Vision,,,,,,,
Dr. Martin Weber,Senior AI Researcher,,,,AI Ethics; Quantum AI; Computer Vision,,,,,,,
Prof. Dr. Martin Koch,Professor für KI und ML,,,,Robotics; AI Ethics; Quantum AI,,,,,,,
Prof. Michael Meyer,Professor für KI und ML,,,,Reinforcement Learning; Natural Language Processing; Deep Learning,,,,,,,
Prof. Dr. Alexander Schulz,Professor für KI und ML,,,,Machine Learning; Explainable AI; AI Ethics,,,,,,,
Prof. Christian Fischer,Professor für KI und ML,,,,AI Ethics; Deep Learning; Explainable AI,,,,,,,
PD Dr. Christian Weber,Senior AI Researcher,,,,Reinforcement Learning; Computer Vision; Robotics,,,,,,,
Prof. Dr. Christian Meyer,Professor für KI und ML,,,,Deep Learning; Neural Networks; Quantum AI,,,,,,,
Prof. Dr. Julia Hoffmann,Professor für KI und ML,,,,Computer Vision; Natural Language Processing; AI Ethics,,,,,,,
Prof. Christian Becker,Professor für KI und ML,,,,Reinforcement Learning; Quantum AI; Robotics,,,,,,,
Prof. Dr. Thomas Weber,Professor für KI und ML,,,,Computer Vision; AI Ethics; Deep Learning,,,,,,,
PD Dr. Julia Meyer,Senior AI Researcher,,,,Robotics; Neural Networks; Machine Learning,,,,,,,
Dr. Martin Koch,Senior AI Researcher,,,,Natural Language Processing; Quantum AI; Reinforcement Learning,,,,,,,
Prof. Maria Koch,Professor für KI und ML,,,,Robotics; Computer Vision; Deep Learning,,,,,,,
Dr. Martin Meyer,Senior AI Researcher,,,,Neural Networks; Deep Learning; Quantum AI,,,,,,,
Dr. Sophie Müller,Senior AI Researcher,,,,Deep Learning; Neural Networks; Reinforcement Learning,,,,,,,
Dr. Martin Schulz,Senior AI Researcher,,,,Natural Language Processing; Explainable AI; Deep Learning,,,,,,,
Prof. Dr. Julia Fischer,Professor für KI und ML,,,,Deep Learning; AI Ethics; Neural Networks,,,,,,,
Prof. Dr. Maria Hoffmann,Professor für KI und ML,,,,Robotics; Deep Learning; Neural Networks,,,,,,,
Prof. Dr. Laura Koch,Professor für KI und ML,,,,Quantum AI; Computer Vision; Neural Networks,,,,,,,
Prof. Anna Hoffmann,Professor für KI und ML,,,,Robotics; Machine Learning; Quantum AI,,,,,,,
Prof. Alexander Fischer,Professor für KI und ML,,,,Machine Learning; Deep Learning; Natural Language Processing,,,,,,,
Prof. Dr. Anna Koch,Professor für KI und ML,,,,Neural Networks; Machine Learning; Explainable AI,,,,,,,
Prof. Dr. Michael Wagner,Professor für KI und ML,,,,Natural Language Processing; Robotics; Computer Vision,,,,,,,
Prof. Dr. Laura Schulz,Professor für KI und ML,,,,Reinforcement Learning; Natural Language Processing; AI Ethics,,,,,,,
PD Dr. Maria Müller,Senior AI Researcher,,,,Machine Learning; Quantum AI; AI Ethics,,,,,,,
Prof. Dr. Maria Hoffmann,Professor für KI und ML,,,,Neural Networks; Computer Vision; Natural Language Processing,,,,,,,
PD Dr. Maria Schulz,Senior AI Researcher,,,,Computer Vision; Robotics; Machine Learning,,,,,,,
Dr. Sophie Hoffmann,Senior AI Researcher,,,,Deep Learning; Neural Networks; Quantum AI,,,,,,,
Prof. Alexander Fischer,Professor für KI und ML,,,,Neural Networks; Quantum AI; Reinforcement Learning,,,,,,,
PD Dr. Christian Meyer,Senior AI Researcher,,,,Neural Networks; Deep Learning; Explainable AI,,,,,,,
Prof. Michael Meyer,Professor für KI und ML,,,,AI Ethics; Natural Language Processing; Explainable AI,,,,,,,
Prof. Dr. Alexander Meyer,Professor für KI und ML,,,,Computer Vision; Natural Language Processing; Reinforcement Learning,,,,,,,
Prof. Dr. Martin Schulz,Professor für KI und ML,,,,Machine Learning; Reinforcement Learning; Natural Language Processing,,,,,,,
Dr. Martin Schulz,Senior AI Researcher,,,,AI Ethics; Neural Networks; Quantum AI,,,,,,,
Dr. Thomas Fischer,Senior AI Researcher,,,,Quantum AI; Explainable AI; Machine Learning,,,,,,,
PD Dr. Julia Meyer,Senior AI Researcher,,,,Computer Vision; Machine Learning; Deep Learning,,,,,,,
Prof. Dr. Alexander Becker,Professor für KI und ML,,,,Robotics; AI Ethics; Machine Learning,,,,,,,
PD Dr. Sophie Hoffmann,Senior AI Researcher,,,,AI Ethics; Reinforcement Learning; Neural Networks,,,,,,,
PD Dr. Laura Wagner,Senior AI Researcher,,,,Neural Networks; AI Ethics; Machine Learning,,,,,,,
PD Dr. Julia Müller,Senior AI Researcher,,,,Deep Learning; Computer Vision; AI Ethics,,,,,,,
PD Dr. Laura Weber,Senior AI Researcher,,,,AI Ethics; Explainable AI; Robotics,,,,,,,
Prof. Dr. Laura Schmidt,Professor für KI und ML,,,,Natural Language Processing; Reinforcement Learning; AI Ethics,,,,,,,
PD Dr. Julia Hoffmann,Senior AI Researcher,,,,Natural Language Processing; Deep Learning; Computer Vision,,,,,,,
PD Dr. Michael Hoffmann,Senior AI Researcher,,,,Natural Language Processing; Quantum AI; Deep Learning,,,,,,,
Prof. Dr. Alexander Wagner,Professor für KI und ML,,,,Computer Vision; Machine Learning; Deep Learning,,,,,,,
Prof. Thomas Müller,Professor für KI und ML,,,,Machine Learning; Quantum AI; Neural Networks,,,,,,,
Prof. Thomas Wagner,Professor für KI und ML,,,,Explainable AI; Quantum AI; Robotics,,,,,,,
PD Dr. Maria Becker,Senior AI Researcher,,,,Machine Learning; Deep Learning; Natural Language Processing,,,,,,,
PD Dr. Martin Meyer,Senior AI Researcher,,,,Quantum AI; Deep Learning; Explainable AI,,,,,,,
PD Dr. Thomas Koch,Senior AI Researcher,,,,Quantum AI; Deep Learning; Reinforcement Learning,,,,,,,
PD Dr. Christian Fischer,Senior AI Researcher,,,,Computer Vision; Machine Learning; Neural Networks,,,,,,,
Dr. Martin Fischer,Senior AI Researcher,,,,Explainable AI; Neural Networks; AI Ethics,,,,,,,
Dr. Christian Meyer,Senior AI Researcher,,,,Machine Learning; Reinforcement Learning; Deep Learning,,,,,,,
Prof. Dr. Christian Meyer,Professor für KI und ML,,,,Robotics; Reinforcement Learning; Deep Learning,,,,,,,
PD Dr. Laura Weber,Senior AI Researcher,,,,Deep Learning; Natural Language Processing; Computer Vision,,,,,,,
Dr. Maria Koch,Senior AI Researcher,,,,Neural Networks; Deep Learning; Quantum AI,,,,,,,
Prof. Dr. Anna Müller,Professor für KI und ML,,,,Reinforcement Learning; Robotics; Explainable AI,,,,,,,
PD Dr. Thomas Wagner,Senior AI Researcher,,,,Natural Language Processing; Neural Networks; Computer Vision,,,,,,,
Prof. Dr. Michael Müller,Professor für KI und ML,,,,Machine Learning; Neural Networks; Deep Learning,,,,,,,
Dr. Sophie Meyer,Senior AI Researcher,,,,Machine Learning; AI Ethics; Robotics,,,,,,,
PD Dr. Christian Müller,Senior AI Researcher,,,,Machine Learning; AI Ethics; Deep Learning,,,,,,,
Prof. Maria Becker,Professor für KI und ML,,,,Explainable AI; Neural Networks; Robotics,,,,,,,
Prof. Maria Weber,Professor für KI und ML,,,,Quantum AI; Robotics; Neural Networks,,,,,,,
PD Dr. Maria Koch,Senior AI Researcher,,,,Computer Vision; Explainable AI; Machine Learning,,,,,,,
Dr. Laura Weber,Senior AI Researcher,,,,AI Ethics; Machine Learning; Quantum AI,,,,,,,
PD Dr. Laura Wagner,Senior AI Researcher,,,,Explainable AI; Deep Learning; Machine Learning,,,,,,,
PD Dr. Laura Meyer,Senior AI Researcher,,,,Explainable AI; Robotics; AI Ethics,,,,,,,
Dr. Michael Schmidt,Senior AI Researcher,,,,Deep Learning; Neural Networks; Machine Learning,,,,,,,
PD Dr. Michael Schmidt,Senior AI Researcher,,,,AI Ethics; Machine Learning; Natural Language Processing,,,,,,,
Prof. Martin Becker,Professor für KI und ML,,,,Reinforcement Learning; Natural Language Processing; Explainable AI,,,,,,,
PD Dr. Christian Hoffmann,Senior AI Researcher,,,,Neural Networks; AI Ethics; Computer Vision,,,,,,,
PD Dr. Martin Schulz,Senior AI Researcher,,,,Machine Learning; Robotics; AI Ethics,,,,,,,
Prof. Michael Wagner,Professor für KI und ML,,,,Neural Networks; Explainable AI; Machine Learning,,,,,,,
Dr. Maria Becker,Senior AI Researcher,,,,Natural Language Processing; Explainable AI; Computer Vision,,,,,,,
PD Dr. Martin Weber,Senior AI Researcher,,,,Machine Learning; Computer Vision; Reinforcement Learning,,,,,,,
Prof. Alexander Meyer,Professor für KI und ML,,,,Computer Vision; Quantum AI; Machine Learning,,,,,,,
Prof. Dr. Christian Fischer,Professor für KI und ML,,,,Machine Learning; Computer Vision; Robotics,,,,,,,
Prof. Sophie Wagner,Professor für KI und ML,,,,Machine Learning; Explainable AI; Deep Learning,,,,,,,
PD Dr. Laura Hoffmann,Senior AI Researcher,,,,Machine Learning; Natural Language Processing; Computer Vision,,,,,,,
Prof. Dr. Michael Schulz,Professor für KI und ML,,,,AI Ethics; Robotics; Machine Learning,,,,,,,
Prof. Dr. Sophie Becker,Professor für KI und ML,,,,Computer Vision; Deep Learning; Neural Networks,,,,,,,
PD Dr. Michael Koch,Senior AI Researcher,,,,Machine Learning; Quantum AI; Deep Learning,,,,,,,
PD Dr. Alexander Müller,Senior AI Researcher,,,,Explainable AI; Reinforcement Learning; Natural Language Processing,,,,,,,
Prof. Anna Hoffmann,Professor für KI und ML,,,,Neural Networks; Computer Vision; Natural Language Processing,,,,,,,
Prof. Dr. Sophie Hoffmann,Professor für KI und ML,,,,Natural Language Processing; AI Ethics; Reinforcement Learning,,,,,,,
Prof. Anna Schmidt,Professor für KI und ML,,,,Explainable AI; AI Ethics; Natural Language Processing,,,,,,,
Dr. Julia Fischer,Senior AI Researcher,,,,Neural Networks; Robotics; AI Ethics,,,,,,,
Prof. Julia Meyer,Professor für KI und ML,,,,Quantum AI; Machine Learning; Natural Language Processing,,,,,,,
Prof. Dr. Sophie Hoffmann,Professor für KI und ML,,,,Reinforcement Learning; Neural Networks; AI Ethics,,,,,,,
Prof. Dr. Thomas Koch,Professor für KI und ML,,,,Natural Language Processing; Deep Learning; Computer Vision,,,,,,,
PD Dr. Laura Meyer,Senior AI Researcher,,,,AI Ethics; Machine Learning; Quantum AI,,,,,,,
Prof. Christian Schulz,Professor für KI und ML,,,,Neural Networks; Explainable AI; Robotics,,,,,,,
Prof. Anna Meyer,Professor für KI und ML,,,,Robotics; Computer Vision; Machine Learning,,,,,,,
Prof. Martin Fischer,Professor für KI und ML,,,,Computer Vision; Machine Learning; Neural Networks,,,,,,,
Prof. Sophie Weber,Professor für KI und ML,,,,Natural Language Processing; Quantum AI; Computer Vision,,,,,,,
PD Dr. Julia Becker,Senior AI Researcher,,,,Deep Learning; Neural Networks; Machine Learning,,,,,,,
Prof. Dr. Alexander Hoffmann,Professor für KI und ML,,,,Robotics; AI Ethics; Quantum AI,,,,,,,
Dr. Thomas Schmidt,Senior AI Researcher,,,,Natural Language Processing; Quantum AI; Deep Learning,,,,,,,
Prof. Thomas Meyer,Professor für KI und ML,,,,Natural Language Processing; Computer Vision; Quantum AI,,,,,,,
Prof. Sophie Müller,Professor für KI und ML,,,,Reinforcement Learning; Deep Learning; Machine Learning,,,,,,,
Prof. Dr. Anna Müller,Professor für KI und ML,,,,AI Ethics; Neural Networks; Quantum AI,,,,,,,
PD Dr. Alexander Wagner,Senior AI Researcher,,,,AI Ethics; Machine Learning; Explainable AI,,,,,,,
Prof. Thomas Schmidt,Professor für KI und ML,,,,Neural Networks; Robotics; Natural Language Processing,,,,,,,
Dr. Alexander Meyer,Senior AI Researcher,,,,Robotics; Computer Vision; AI Ethics,,,,,,,
Dr. Alexander Wagner,Senior AI Researcher,,,,AI Ethics; Computer Vision; Natural Language Processing,,,,,,,
Prof. Martin Wagner,Professor für KI und ML,,,,Machine Learning; Explainable AI; Neural Networks,,,,,,,
Prof. Dr. Christian Fischer,Professor für KI und ML,,,,Neural Networks; Computer Vision; Natural Language Processing,,,,,,,
Dr. Julia Schmidt,Senior AI Researcher,,,,Natural Language Processing; Deep Learning; AI Ethics,,,,,,,
PD Dr. Christian Meyer,Senior AI Researcher,,,,Deep Learning; Explainable AI; AI Ethics,,,,,,,
Prof. Dr. Christian Wagner,Professor für KI und ML,,,,Quantum AI; Computer Vision; Explainable AI,,,,,,,
Prof. Alexander Schulz,Professor für KI und ML,,,,Machine Learning; Deep Learning; Robotics,,,,,,,
Dr. Maria Fischer,Senior AI Researcher,,,,Neural Networks; Computer Vision; Deep Learning,,,,,,,
Prof. Dr. Michael Wagner,Professor für KI und ML,,,,Computer Vision; Explainable AI; Reinforcement Learning,,,,,,,
Prof. Dr. Maria Schmidt,Professor für KI und ML,,,,Machine Learning; Deep Learning; Quantum AI,,,,,,,
PD Dr. Thomas Meyer,Senior AI Researcher,,,,Natural Language Processing; Computer Vision; Neural Networks,,,,,,,
Prof. Thomas Koch,Professor für KI und ML,,,,Robotics; Computer Vision; Machine Learning,,,,,,,
Dr. Laura Wagner,Senior AI Researcher,,,,Machine Learning; Deep Learning; Computer Vision,,,,,,,
Dr. Alexander Weber,Senior AI Researcher,,,,Neural Networks; Reinforcement Learning; AI Ethics,,,,,,,
PD Dr. Martin Hoffmann,Senior AI Researcher,,,,Reinforcement Learning; Machine Learning; Quantum AI,,,,,,,
Prof. Dr. Christian Meyer,Professor für KI und ML,,,,Explainable AI; Natural Language Processing; Neural Networks,,,,,,,
Prof. Dr. Martin Wagner,Professor für KI und ML,,,,Explainable AI; AI Ethics; Computer Vision,,,,,,,
Prof. Dr. Martin Müller,Professor für KI und ML,,,,Machine Learning; Robotics; Deep Learning,,,,,,,
Dr. Laura Weber,Senior AI Researcher,,,,Machine Learning; Deep Learning; AI Ethics,,,,,,,
Dr. Maria Schmidt,Senior AI Researcher,,,,Explainable AI; Neural Networks; Computer Vision,,,,,,,
PD Dr. Alexander Schmidt,Senior AI Researcher,,,,Robotics; Explainable AI; Deep Learning,,,,,,,
Dr. Alexander Fischer,Senior AI Researcher,,,,Machine Learning; Reinforcement Learning; Quantum AI,,,,,,,
Prof. Julia Fischer,Professor für KI und ML,,,,Computer Vision; Quantum AI; AI Ethics,,,,,,,
PD Dr. Sophie Wagner,Senior AI Researcher,,,,Machine Learning; Deep Learning; Neural Networks,,,,,,,
Prof. Dr. Alexander Weber,Professor für KI und ML,,,,Explainable AI; Computer Vision; Neural Networks,,,,,,,
PD Dr. Christian Hoffmann,Senior AI Researcher,,,,Robotics; AI Ethics; Natural Language Processing,,,,,,,
Prof. Laura Fischer,Professor für KI und ML,,,,Deep Learning; Quantum AI; Computer Vision,,,,,,,
Prof. Martin Meyer,Professor für KI und ML,,,,Neural Networks; AI Ethics; Robotics,,,,,,,
Prof. Christian Hoffmann,Professor für KI und ML,,,,Reinforcement Learning; AI Ethics; Computer Vision,,,,,,,
PD Dr. Michael Hoffmann,Senior AI Researcher,,,,Explainable AI; Neural Networks; Natural Language Processing,,,,,,,
Dr. Michael Wagner,Senior AI Researcher,,,,AI Ethics; Reinforcement Learning; Quantum AI,,,,,,,
Dr. Maria Becker,Senior AI Researcher,,,,Robotics; Natural Language Processing; Machine Learning,,,,,,,
Prof. Dr. Christian Meyer,Professor für KI und ML,,,,Computer Vision; Natural Language Processing; Robotics,,,,,,,
Prof. Dr. Maria Weber,Professor für KI und ML,,,,Deep Learning; Neural Networks; Explainable AI,,,,,,,
Dr. Laura Fischer,Senior AI Researcher,,,,Computer Vision; Natural Language Processing; AI Ethics,,,,,,,
Prof. Michael Hoffmann,Professor für KI und ML,,,,Machine Learning; Robotics; Explainable AI,,,,,,,
Prof. Anna Müller,Professor für KI und ML,,,,Computer Vision; Natural Language Processing; Quantum AI,,,,,,,
Prof. Sophie Müller,Professor für KI und ML,,,,Quantum AI; Natural Language Processing; Deep Learning,,,,,,,
PD Dr. Laura Schmidt,Senior AI Researcher,,,,Quantum AI; AI Ethics; Machine Learning,,,,,,,
Dr. Anna Fischer,Senior AI Researcher,,,,Natural Language Processing; Neural Networks; Reinforcement Learning,,,,,,,
Prof. Dr. Anna Müller,Professor für KI und ML,,,,Neural Networks; Natural Language Processing; Deep Learning,,,,,,,
Prof. Dr. Laura Fischer,Professor für KI und ML,,,,Neural Networks; Robotics; Computer Vision,,,,,,,
PD Dr. Anna Becker,Senior AI Researcher,,,,Machine Learning; Neural Networks; Deep Learning,,,,,,,
PD Dr. Sophie Weber,Senior AI Researcher,,,,Natural Language Processing; Robotics; Explainable AI,,,,,,,
Prof. Dr. Alexander Meyer,Professor für KI und ML,,,,Reinforcement Learning; Deep Learning; Machine Learning,,,,,,,
Prof. Dr. Maria Müller,Professor für KI und ML,,,,Deep Learning; Computer Vision; Reinforcement Learning,,,,,,,
Prof. Thomas Schulz,Professor für KI und ML,,,,Computer Vision; AI Ethics; Deep Learning,,,,,,,
PD Dr. Anna Weber,Senior AI Researcher,,,,Robotics; AI Ethics; Computer Vision,,,,,,,
Dr. Sophie Schulz,Senior AI Researcher,,,,Natural Language Processing; Quantum AI; Robotics,,,,,,,
Dr. Alexander Wagner,Senior AI Researcher,,,,Neural Networks; Computer Vision; Explainable AI,,,,,,,
Dr. Martin Schulz,Senior AI Researcher,,,,Machine Learning; Quantum AI; Deep Learning,,,,,,,
Prof. Dr. Martin Koch,Professor für KI und ML,,,,Reinforcement Learning; Computer Vision; AI Ethics,,,,,,,
PD Dr. Thomas Meyer,Senior AI Researcher,,,,Machine Learning; Neural Networks; Quantum AI,,,,,,,
Prof. Dr. Alexander Weber,Professor für KI und ML,,,,Explainable AI; Quantum AI; AI Ethics,,,,,,,
Prof. Martin Schulz,Professor für KI und ML,,,,Machine Learning; Computer Vision; Natural Language Processing,,,,,,,
Prof. Thomas Koch,Professor für KI und ML,,,,Robotics; Explainable AI; Quantum AI,,,,,,,
Dr. Sophie Weber,Senior AI Researcher,,,,Machine Learning; Neural Networks; AI Ethics,,,,,,,
PD Dr. Julia Schulz,Senior AI Researcher,,,,Computer Vision; Natural Language Processing; Neural Networks,,,,,,,
Prof. Christian Müller,Professor für KI und ML,,,,AI Ethics; Machine Learning; Deep Learning,,,,,,,
PD Dr. Julia Schmidt,Senior AI Researcher,,,,Explainable AI; Natural Language Processing; Computer Vision,,,,,,,
Dr. Martin Müller,Senior AI Researcher,,,,Robotics; Computer Vision; Neural Networks,,,,,,,
Prof. Dr. Christian Fischer,Professor für KI und ML,,,,Machine Learning; Deep Learning; Neural Networks,,,,,,,
Dr. Michael Müller,Senior AI Researcher,,,,Computer Vision; Deep Learning; AI Ethics,,,,,,,
Dr. Thomas Hoffmann,Senior AI Researcher,,,,Explainable AI; Natural Language Processing; Deep Learning,,,,,,,
PD Dr. Michael Koch,Senior AI Researcher,,,,Natural Language Processing; Deep Learning; Computer Vision,,,,,,,
Dr. Maria Wagner,Senior AI Researcher,,,,Neural Networks; Machine Learning; Quantum AI,,,,,,,
Prof. Christian Hoffmann,Professor für KI und ML,,,,Machine Learning; Deep Learning; Explainable AI,,,,,,,
Prof. Dr. Maria Koch,Professor für KI und ML,,,,Machine Learning; Deep Learning; AI Ethics,,,,,,,
Dr. Sophie Becker,Senior AI Researcher,,,,Neural Networks; Machine Learning; AI Ethics,,,,,,,
PD Dr. Anna Wagner,Senior AI Researcher,,,,Robotics; Computer Vision; Quantum AI,,,,,,,
Prof. Dr. Julia Müller,Professor für KI und ML,,,,Explainable AI; Reinforcement Learning; Machine Learning,,,,,,,
Prof. Dr. Christian Müller,Professor für KI und ML,,,,Explainable AI; Neural Networks; Machine Learning,,,,,,,
Dr. Laura Fischer,Senior AI Researcher,,,,Machine Learning; Computer Vision; Neural Networks,,,,,,,
Prof. Dr. Thomas Koch,Professor für KI und ML,,,,Quantum AI; Machine Learning; Deep Learning,,,,,,,
Prof. Michael Wagner,Professor für KI und ML,,,,Computer Vision; Machine Learning; Robotics,,,,,,,
